DateTime,RouterID,FlowBytes,ID,EnergyConsumptionW,HeatDissipationBTU,EnergySavingMode,EnergyConsumptionW_noisy
2015-11-01 00:00:00,1,15,20151101001,784.3,2676.0316,1,785.1087266877232
2015-11-01 01:00:00,1,13,20151101011,784.26,2675.89512,1,784.2751474653687
2015-11-01 02:00:00,1,10,20151101021,784.2,2675.6904,1,783.2083084154427
2015-11-01 03:00:00,1,7,20151101031,784.14,2675.48568,1,784.7731596491897
2015-11-01 04:00:00,1,9,20151101041,784.18,2675.62216,1,784.7502738495854
2015-11-01 05:00:00,1,6,20151101051,784.12,2675.41744,1,784.1219762766648
2015-11-01 06:00:00,1,9,20151101061,784.18,2675.62216,1,784.1477737462714
2015-11-01 07:00:00,1,8,20151101071,784.16,2675.55392,1,784.3173782849068
2015-11-01 08:00:00,1,11,20151101081,784.22,2675.75864,1,784.2375117545198
2015-11-01 09:00:00,1,12,20151101091,784.24,2675.82688,1,784.4298774643163
2015-11-01 10:00:00,1,15,20151101101,784.3,2676.0316,1,785.2169835938314
2015-11-01 11:00:00,1,17,20151101111,784.34,2676.16808,1,784.3523573134902
2015-11-01 12:00:00,1,16,20151101121,784.32,2676.0998400000003,1,784.158692383668
2015-11-01 13:00:00,1,15,20151101131,784.3,2676.0316,1,783.6246533199966
2015-11-01 14:00:00,1,16,20151101141,784.32,2676.0998400000003,1,783.747657495875
2015-11-01 15:00:00,1,12,20151101151,784.24,2675.82688,1,784.3394685739371
2015-11-01 16:00:00,1,12,20151101161,784.24,2675.82688,1,784.3434231171176
2015-11-01 17:00:00,1,16,20151101171,784.32,2676.0998400000003,1,784.4958490370593
2015-11-01 18:00:00,1,17,20151101181,784.34,2676.16808,1,784.5013188463724
2015-11-01 19:00:00,1,20,20151101191,784.4,2676.3728,0,784.4854287075729
2015-11-01 20:00:00,1,17,20151101201,784.34,2676.16808,1,783.7387531586706
2015-11-01 21:00:00,1,19,20151101211,784.38,2676.30456,0,784.3514618627463
2015-11-01 22:00:00,1,20,20151101221,784.4,2676.3728,0,784.7739287214772
2015-11-01 23:00:00,1,15,20151101231,784.3,2676.0316,1,784.4588507833474
2015-11-02 00:00:00,1,14,20151102001,784.28,2675.96336,1,784.7561274417551
2015-11-02 01:00:00,1,12,20151102011,784.24,2675.82688,1,783.7322894204914
2015-11-02 02:00:00,1,14,20151102021,784.28,2675.96336,1,784.4821744785318
2015-11-02 03:00:00,1,12,20151102031,784.24,2675.82688,1,784.9356313101691
2015-11-02 04:00:00,1,12,20151102041,784.24,2675.82688,1,783.9692081782227
2015-11-02 05:00:00,1,11,20151102051,784.22,2675.75864,1,784.6910072907458
2015-11-02 06:00:00,1,13,20151102061,784.26,2675.89512,1,783.9801493678056
2015-11-02 07:00:00,1,14,20151102071,784.28,2675.96336,1,784.0604613201289
2015-11-02 08:00:00,1,12,20151102081,784.24,2675.82688,1,784.028985076588
2015-11-02 09:00:00,1,22,20151102091,784.44,2676.50928,0,783.925744002823
2015-11-02 10:00:00,1,32,20151102101,784.64,2677.19168,0,784.9737162329532
2015-11-02 11:00:00,1,31,20151102111,784.62,2677.12344,0,784.5083427084209
2015-11-02 12:00:00,1,35,20151102121,784.7,2677.3964,0,784.3875959735078
2015-11-02 13:00:00,1,26,20151102131,784.52,2676.78224,0,784.3050389272084
2015-11-02 14:00:00,1,34,20151102141,784.68,2677.32816,0,784.223465787004
2015-11-02 15:00:00,1,30,20151102151,784.6,2677.0552,0,784.6360747903374
2015-11-02 16:00:00,1,27,20151102161,784.54,2676.85048,0,785.4038343924
2015-11-02 17:00:00,1,27,20151102171,784.54,2676.85048,0,784.7192738851918
2015-11-02 18:00:00,1,24,20151102181,784.48,2676.64576,0,784.4167630948092
2015-11-02 19:00:00,1,26,20151102191,784.52,2676.78224,0,785.134198902663
2015-11-02 20:00:00,1,29,20151102201,784.58,2676.98696,0,784.9486921471904
2015-11-02 21:00:00,1,32,20151102211,784.64,2677.19168,0,785.0489743451678
2015-11-02 22:00:00,1,30,20151102221,784.6,2677.0552,0,785.0526057678967
2015-11-02 23:00:00,1,27,20151102231,784.54,2676.85048,0,785.0880929363752
2015-11-03 00:00:00,1,21,20151103001,784.42,2676.44104,0,784.0383737282782
2015-11-03 01:00:00,1,18,20151103011,784.36,2676.23632,0,784.452839389247
2015-11-03 02:00:00,1,19,20151103021,784.38,2676.30456,0,784.8094046612575
2015-11-03 03:00:00,1,13,20151103031,784.26,2675.89512,1,784.8249539465188
2015-11-03 04:00:00,1,11,20151103041,784.22,2675.75864,1,784.854417298429
2015-11-03 05:00:00,1,11,20151103051,784.22,2675.75864,1,784.3064782745056
2015-11-03 06:00:00,1,11,20151103061,784.22,2675.75864,1,784.1695089751111
2015-11-03 07:00:00,1,14,20151103071,784.28,2675.96336,1,783.547991893467
